CODIGO_DISTRITAL,NOMBRE,COD,PADRE,,,,,,INSERT PROVINCIA
1,San José,P,0,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES(1,'San José');",,,,,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES"
10906,Brasil,D,109,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(109,10906,'Brasil');",,,,,
110,Alajuelita,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,110,'Alajuelita');",,,,,
11001,Alajuelita,D,110,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(110,11001,'Alajuelita');",,,,,
11002,San Josecito,D,110,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(110,11002,'San Josecito');",,,,,
11003,San Antonio,D,110,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(110,11003,'San Antonio');",,,,,
11004,Concepción,D,110,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(110,11004,'Concepción');",,,,,
11005,San Felipe,D,110,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(110,11005,'San Felipe');",,,,,
111,Vasquez de Coronado,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,111,'Vasquez de Coronado');",,,,,
11101,San Isidro,D,111,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(111,11101,'San Isidro');",,,,,
11102,San Rafael,D,111,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(111,11102,'San Rafael');",,,,,
11103,Dulce Nombre de Jesús,D,111,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(111,11103,'Dulce Nombre de Jesús');",,,,,
11104,Patalillo,D,111,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(111,11104,'Patalillo');",,,,,
11105,Cascajal,D,111,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(111,11105,'Cascajal');",,,,,
112,Acosta,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,112,'Acosta');",,,,,
11201,San Ignacio,D,112,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(112,11201,'San Ignacio');",,,,,
11202,Guaitil,D,112,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(112,11202,'Guaitil');",,,,,
11203,Palmichal,D,112,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(112,11203,'Palmichal');",,,,,
11204,Cangrejal,D,112,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(112,11204,'Cangrejal');",,,,,
11205,Sabanillas,D,112,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(112,11205,'Sabanillas');",,,,,
113,Tibás,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,113,'Tibás');",,,,,
11301,San Juan,D,113,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(113,11301,'San Juan');",,,,,
11302,Cinco Esquinas,D,113,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(113,11302,'Cinco Esquinas');",,,,,
11303,Anselmo Llorente,D,113,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(113,11303,'Anselmo Llorente');",,,,,
11304,León XIII,D,113,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(113,11304,'León XIII');",,,,,
11305,Colima,D,113,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(113,11305,'Colima');",,,,,
114,Moravia,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,114,'Moravia');",,,,,
11401,San Vicente,D,114,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(114,11401,'San Vicente');",,,,,
11402,San Jerónimo,D,114,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(114,11402,'San Jerónimo');",,,,,
11403,Trinidad,D,114,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(114,11403,'Trinidad');",,,,,
115,Montes de Oca,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,115,'Montes de Oca');",,,,,
11501,San Pedro,D,115,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(115,11501,'San Pedro');",,,,,
11502,Sabanilla,D,115,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(115,11502,'Sabanilla');",,,,,
11503,Mercedes o Betania,D,115,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(115,11503,'Mercedes o Betania');",,,,,
11504,San Rafael,D,115,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(115,11504,'San Rafael');",,,,,
116,Turrubares,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,116,'Turrubares');",,,,,
11601,San Pablo,D,116,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(116,11601,'San Pablo');",,,,,
11602,San Pedro,D,116,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(116,11602,'San Pedro');",,,,,
11603,San Juan de Mata,D,116,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(116,11603,'San Juan de Mata');",,,,,
11604,San Luis,D,116,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(116,11604,'San Luis');",,,,,
11605,Cárara,D,116,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(116,11605,'Cárara');",,,,,
